"actor_name","season","episode","num_characters","characters_played","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","percent_of_episode"
"Liam O'Brien",1,6,1,"Vax'ildan",7,1072000,1072,17.8666666666667,73.1740614334471
"Matthew Mercer",1,6,2,"Sylas Briarwood, Trinket",8,1069000,1069,17.8166666666667,72.9692832764505
"Ashley Johnson",1,6,1,"Pike",7,927000,927,15.45,63.2764505119454
"Travis Willingham",1,6,1,"Grog",7,889000,889,14.8166666666667,60.6825938566553
"Taliesin Jaffe",1,6,1,"Percival",8,873000,873,14.55,59.5904436860068
"Laura Bailey",1,6,1,"Vex'ahlia",8,848000,848,14.1333333333333,57.8839590443686
"Grey DeLisle",1,6,1,"Deliliah Briarwood",6,828000,828,13.8,56.518771331058
"Sam Riegel",1,6,1,"Scanlan",6,758000,758,12.6333333333333,51.740614334471
"Marisha Ray",1,6,1,"Keyleth",5,737000,737,12.2833333333333,50.3071672354949
"Indira Varma",1,6,1,"Lady Allura Vysoren",4,489000,489,8.15,33.3788395904437
"Khary Payton",1,6,1,"Sovereign Uriel",5,344000,344,5.73333333333333,23.481228668942
"Max Mittelman",1,6,1,"Desmond",2,255000,255,4.25,17.4061433447099
"Stephanie Beatriz",1,6,1,"Lady Kima of Vord",2,161000,161,2.68333333333333,10.9897610921502
