"episode_file","season","episode","total_duration_ms","total_duration_sec","total_duration_min"
"Legends of Vox Machina Season 2 Episode 1.json",2,1,1476000,1476,24.6
"Legends of Vox Machina Season 2 Episode 10.json",2,10,1589000,1589,26.4833333333333
"Legends of Vox Machina Season 2 Episode 11.json",2,11,1633000,1633,27.2166666666667
"Legends of Vox Machina Season 2 Episode 12.json",2,12,1778000,1778,29.6333333333333
"Legends of Vox Machina Season 2 Episode 2.json",2,2,1556000,1556,25.9333333333333
"Legends of Vox Machina Season 2 Episode 3.json",2,3,1559000,1559,25.9833333333333
"Legends of Vox Machina Season 2 Episode 4.json",2,4,1559000,1559,25.9833333333333
"Legends of Vox Machina Season 2 Episode 5.json",2,5,1576000,1576,26.2666666666667
"Legends of Vox Machina Season 2 Episode 6.json",2,6,1595000,1595,26.5833333333333
"Legends of Vox Machina Season 2 Episode 7.json",2,7,1631000,1631,27.1833333333333
"Legends of Vox Machina Season 2 Episode 8.json",2,8,1626000,1626,27.1
"Legends of Vox Machina Season 2 Episode 9.json",2,9,1621000,1621,27.0166666666667
