"actor_name","character_name","season","episodes_appeared","total_appearances","total_screen_time_ms","total_screen_time_sec","total_screen_time_min","avg_screen_time_per_episode_min","first_episode","last_episode"
"Liam O'Brien","Vax'ildan",3,12,60,12462000,12462,207.7,17.3083333333333,1,12
"Marisha Ray","Keyleth",3,12,59,11834000,11834,197.233333333333,16.4361111111111,1,12
"Laura Bailey","Vex'ahlia",3,12,55,11486000,11486,191.433333333333,15.9527777777778,1,12
"Ashley Johnson","Pike",3,12,51,11074000,11074,184.566666666667,15.3805555555556,1,12
"Travis Willingham","Grog",3,11,49,10072000,10072,167.866666666667,15.2606060606061,1,12
"Sam Riegel","Scanlan",3,12,48,9264000,9264,154.4,12.8666666666667,1,12
"Taliesin Jaffe","Percival",3,8,36,6983000,6983,116.383333333333,14.5479166666667,1,8
"Indira Varma","Lady Allura Vysoren",3,10,27,5498000,5498,91.6333333333333,9.16333333333333,3,12
"Stephanie Beatriz","Lady Kima of Vord",3,5,18,3547000,3547,59.1166666666667,11.8233333333333,3,12
"Sunil Malhotra","Gilmore",3,7,17,3428000,3428,57.1333333333333,8.16190476190476,1,12
"Cree Summer","Raishan",3,8,17,2445000,2445,40.75,5.09375,1,12
"Esmé Creed-Miles","Cassandra de Rolo",3,5,11,2129000,2129,35.4833333333333,7.09666666666667,1,9
"Lance Reddick","Thordak",3,4,11,1958000,1958,32.6333333333333,8.15833333333333,1,9
"Gina Torres","Keeper Yennen",3,4,8,1806000,1806,30.1,7.525,1,8
"Kelly Hu","Anna Ripley",3,4,11,1598000,1598,26.6333333333333,6.65833333333333,1,7
"Fred Tatasciore","Korrin",3,2,8,1516000,1516,25.2666666666667,12.6333333333333,10,11
"Liam O'Brien","Vorugal",3,3,8,1460000,1460,24.3333333333333,8.11111111111111,1,5
"Debra Wilson","Pa'tice",3,2,8,1373000,1373,22.8833333333333,11.4416666666667,10,11
"Mary Elizabeth McGlynn","Zahra",3,2,4,1139000,1139,18.9833333333333,9.49166666666667,8,9
"Matthew Mercer","Orthax",3,4,6,1134000,1134,18.9,4.725,2,12
"Ike Amadi","Earthbreaker Groon",3,2,4,1116000,1116,18.6,9.3,8,9
"Troy Baker","Syldor",3,2,5,1083000,1083,18.05,9.025,8,9
"Aisling Franciosi","Kaylie",3,4,6,1051000,1051,17.5166666666667,4.37916666666667,6,12
"Will Friedle","Kashaw",3,2,3,973000,973,16.2166666666667,8.10833333333333,8,9
"Luis Carazo","Zerxus Ilerez",3,2,3,916000,916,15.2666666666667,7.63333333333333,4,7
"Rachel House","Dohla",3,2,4,828000,828,13.8,6.9,3,5
"Robbie Daymond","Cerkonos",3,1,2,671000,671,11.1833333333333,11.1833333333333,8,8
"Mara Junot","J'mon Sa Ord",3,1,3,339000,339,5.65,5.65,2,2
"Matthew Mercer","Katari",3,1,1,314000,314,5.23333333333333,5.23333333333333,10,10
"Matthew Mercer","Trinket",3,2,3,286000,286,4.76666666666667,2.38333333333333,1,8
"Tamara Podemski","Uvenda",3,1,2,274000,274,4.56666666666667,4.56666666666667,10,10
"Courtenay Taylor","Matron of Ravens",3,1,1,215000,215,3.58333333333333,3.58333333333333,12,12
"Matthew Mercer","Drake Thunderbrand",3,1,1,145000,145,2.41666666666667,2.41666666666667,5,5
"Kimiko Glenn","Young Ripley",3,1,1,107000,107,1.78333333333333,1.78333333333333,7,7
"Matthew Mercer","Dr. Dranzel",3,1,1,87000,87,1.45,1.45,10,10
"Eugene Byrd","Jarett",3,1,1,29000,29,0.483333333333333,0.483333333333333,3,3
